hochua,gio,ngay,LVS,muc_nuoc,luu_luong_den_ho,luu_luong_xa
An Khê,0,02/10/2019,Ba,427.18,2.65,4
An Khê,1,02/10/2019,Ba,427.19,10.67,4
An Khê,2,02/10/2019,Ba,427.2,10.67,4
An Khê,3,02/10/2019,Ba,427.2,4,4
An Khê,4,02/10/2019,Ba,427.19,2.5,4
An Khê,5,02/10/2019,Ba,427.19,2.27,4
An Khê,6,02/10/2019,Ba,427.18,2.15,4
An Khê,7,02/10/2019,Ba,427.18,2.06,4
An Khê,8,02/10/2019,Ba,427.17,2,4
An Khê,9,02/10/2019,Ba,427.17,2,4
An Khê,10,02/10/2019,Ba,427.16,2,4
An Khê,11,02/10/2019,Ba,427.16,2,4
An Khê,12,02/10/2019,Ba,427.15,2,4
An Khê,13,02/10/2019,Ba,427.15,2.1,4
An Khê,14,02/10/2019,Ba,427.13,2.4,13.1
An Khê,15,02/10/2019,Ba,427.11,11.67,25
An Khê,16,02/10/2019,Ba,427.12,31.67,25
An Khê,17,02/10/2019,Ba,427.15,45,25
An Khê,18,02/10/2019,Ba,427.18,45,25
An Khê,19,02/10/2019,Ba,427.22,34.87,8.2
An Khê,20,02/10/2019,Ba,427.26,30.67,4
An Khê,21,02/10/2019,Ba,427.3,30.67,4
An Khê,22,02/10/2019,Ba,427.34,30.67,4
An Khê,23,02/10/2019,Ba,427.38,30.67,4
An Khê,0,03/10/2019,Ba,427.42,30.67,4
An Khê,1,03/10/2019,Ba,427.45,24,4
An Khê,2,03/10/2019,Ba,427.48,24,4
An Khê,3,03/10/2019,Ba,427.49,10.67,4
An Khê,4,03/10/2019,Ba,427.49,4,4
An Khê,5,03/10/2019,Ba,427.48,3.2,4
An Khê,6,03/10/2019,Ba,427.48,4,4
An Khê,7,03/10/2019,Ba,427.47,3.2,4
An Khê,8,03/10/2019,Ba,427.47,3.2,4
An Khê,9,03/10/2019,Ba,427.46,3.2,4
An Khê,10,03/10/2019,Ba,427.46,3.2,4
An Khê,11,03/10/2019,Ba,427.45,3.2,4
An Khê,12,03/10/2019,Ba,427.45,3.2,4
An Khê,13,03/10/2019,Ba,427.44,3.3,4
An Khê,14,03/10/2019,Ba,427.44,3.3,4
An Khê,15,03/10/2019,Ba,427.43,3.3,4
An Khê,16,03/10/2019,Ba,427.42,3.98,10.7
An Khê,17,03/10/2019,Ba,427.39,5,25
An Khê,18,03/10/2019,Ba,427.37,11.67,25
An Khê,19,03/10/2019,Ba,427.36,11.68,18.4
An Khê,20,03/10/2019,Ba,427.37,10.67,4
An Khê,21,03/10/2019,Ba,427.36,11.38,19.1
An Khê,22,03/10/2019,Ba,427.36,25,25
An Khê,23,03/10/2019,Ba,427.4,33.47,6.8
An Khê,0,04/10/2019,Ba,427.44,30.67,4
An Khê,1,04/10/2019,Ba,427.48,30.67,4
An Khê,2,04/10/2019,Ba,427.52,31.78,4
An Khê,3,04/10/2019,Ba,427.56,32.89,4
An Khê,4,04/10/2019,Ba,427.59,25.67,4
An Khê,5,04/10/2019,Ba,427.62,25.67,4
An Khê,6,04/10/2019,Ba,427.63,11.22,4
An Khê,7,04/10/2019,Ba,427.63,4,4
An Khê,8,04/10/2019,Ba,427.62,5.18,12.4
An Khê,9,04/10/2019,Ba,427.59,5.09,26.8
An Khê,10,04/10/2019,Ba,427.56,4.29,26
An Khê,11,04/10/2019,Ba,427.56,5.12,7.5
An Khê,12,04/10/2019,Ba,427.56,3.8,4
An Khê,13,04/10/2019,Ba,427.55,3.8,4
An Khê,14,04/10/2019,Ba,427.54,4.82,17.3
An Khê,15,04/10/2019,Ba,427.53,14.2,25
An Khê,16,04/10/2019,Ba,427.53,25,25
An Khê,17,04/10/2019,Ba,427.53,25,25
An Khê,18,04/10/2019,Ba,427.51,10.56,25
An Khê,19,04/10/2019,Ba,427.49,5.16,19.1
An Khê,20,04/10/2019,Ba,427.49,4,4
An Khê,21,04/10/2019,Ba,427.5,26.42,19.8
An Khê,22,04/10/2019,Ba,427.53,30.92,9.3
An Khê,23,04/10/2019,Ba,427.57,32.89,4
An Khê,0,05/10/2019,Ba,427.61,32.89,4
An Khê,1,05/10/2019,Ba,427.65,32.89,4
An Khê,2,05/10/2019,Ba,427.68,25.67,4
An Khê,3,05/10/2019,Ba,427.69,11.22,4
An Khê,4,05/10/2019,Ba,427.72,25.67,4
An Khê,5,05/10/2019,Ba,427.75,25.67,4
An Khê,6,05/10/2019,Ba,427.75,4,4
An Khê,7,05/10/2019,Ba,427.74,3.2,4
An Khê,8,05/10/2019,Ba,427.74,4,4
An Khê,9,05/10/2019,Ba,427.74,4,4
An Khê,10,05/10/2019,Ba,427.74,4,4
An Khê,11,05/10/2019,Ba,427.74,4,4
An Khê,12,05/10/2019,Ba,427.74,4,4
An Khê,13,05/10/2019,Ba,427.73,3.15,4
