hochua,gio,ngay,LVS,muc_nuoc,luu_luong_den_ho,luu_luong_xa
Ka Nak,0,02/10/2019,Ba,489.29,3.26,0
Ka Nak,1,02/10/2019,Ba,489.29,3.26,0
Ka Nak,2,02/10/2019,Ba,489.3,3.25,0
Ka Nak,3,02/10/2019,Ba,489.3,3.26,0
Ka Nak,4,02/10/2019,Ba,489.3,3.26,0
Ka Nak,5,02/10/2019,Ba,489.31,3.25,0
Ka Nak,6,02/10/2019,Ba,489.31,3.26,0
Ka Nak,7,02/10/2019,Ba,489.31,3.26,0
Ka Nak,8,02/10/2019,Ba,489.3,3.78,17.9
Ka Nak,9,02/10/2019,Ba,489.28,4.04,29
Ka Nak,10,02/10/2019,Ba,489.25,4.04,29
Ka Nak,11,02/10/2019,Ba,489.23,4.05,29
Ka Nak,12,02/10/2019,Ba,489.21,4.04,29
Ka Nak,13,02/10/2019,Ba,489.18,4.04,29
Ka Nak,14,02/10/2019,Ba,489.16,4.05,29
Ka Nak,15,02/10/2019,Ba,489.14,4.04,29
Ka Nak,16,02/10/2019,Ba,489.11,4.04,29
Ka Nak,17,02/10/2019,Ba,489.09,4.05,29
Ka Nak,18,02/10/2019,Ba,489.07,4.04,29
Ka Nak,19,02/10/2019,Ba,489.05,4.04,29
Ka Nak,20,02/10/2019,Ba,489.04,3.27,8.7
Ka Nak,21,02/10/2019,Ba,489.04,3.26,0
Ka Nak,22,02/10/2019,Ba,489.05,3.26,0
Ka Nak,23,02/10/2019,Ba,489.05,3.25,0
Ka Nak,0,03/10/2019,Ba,489.05,3.26,0
Ka Nak,1,03/10/2019,Ba,489.06,3.26,0
Ka Nak,2,03/10/2019,Ba,489.06,3.25,0
Ka Nak,3,03/10/2019,Ba,489.06,3.26,0
Ka Nak,4,03/10/2019,Ba,489.06,3.26,0
Ka Nak,5,03/10/2019,Ba,489.07,3.25,0
Ka Nak,6,03/10/2019,Ba,489.07,3.26,0
Ka Nak,7,03/10/2019,Ba,489.07,3.26,0
Ka Nak,8,03/10/2019,Ba,489.08,4.34,0
Ka Nak,9,03/10/2019,Ba,489.08,4.34,0
Ka Nak,10,03/10/2019,Ba,489.09,4.34,0
Ka Nak,11,03/10/2019,Ba,489.09,4.34,0
Ka Nak,12,03/10/2019,Ba,489.09,4.34,0
Ka Nak,13,03/10/2019,Ba,489.1,4.34,0
Ka Nak,14,03/10/2019,Ba,489.1,4.34,0
Ka Nak,15,03/10/2019,Ba,489.11,4.34,0
Ka Nak,16,03/10/2019,Ba,489.1,4.23,14
Ka Nak,17,03/10/2019,Ba,489.07,4.05,29
Ka Nak,18,03/10/2019,Ba,489.05,4.04,29
Ka Nak,19,03/10/2019,Ba,489.03,4.04,29
Ka Nak,20,03/10/2019,Ba,489,4.05,29
Ka Nak,21,03/10/2019,Ba,488.98,4.04,29
Ka Nak,22,03/10/2019,Ba,488.96,4.04,29
Ka Nak,23,03/10/2019,Ba,488.96,4.95,8.2
Ka Nak,0,04/10/2019,Ba,488.96,4.34,0
Ka Nak,1,04/10/2019,Ba,488.96,4.34,0
Ka Nak,2,04/10/2019,Ba,488.97,4.34,0
Ka Nak,3,04/10/2019,Ba,488.97,4.34,0
Ka Nak,4,04/10/2019,Ba,488.98,4.34,0
Ka Nak,5,04/10/2019,Ba,488.98,4.34,0
Ka Nak,6,04/10/2019,Ba,488.98,4.34,0
Ka Nak,7,04/10/2019,Ba,488.99,4.34,0
Ka Nak,8,04/10/2019,Ba,488.98,6.18,15.9
Ka Nak,9,04/10/2019,Ba,488.96,6.21,29
Ka Nak,10,04/10/2019,Ba,488.94,6.21,29
Ka Nak,11,04/10/2019,Ba,488.94,6.52,6.5
Ka Nak,12,04/10/2019,Ba,488.94,6.51,0
Ka Nak,13,04/10/2019,Ba,488.95,6.51,0
Ka Nak,14,04/10/2019,Ba,488.93,6.93,23.2
Ka Nak,15,04/10/2019,Ba,488.91,6.21,29
Ka Nak,16,04/10/2019,Ba,488.89,6.21,29
Ka Nak,17,04/10/2019,Ba,488.87,6.22,29
Ka Nak,18,04/10/2019,Ba,488.85,6.21,29
Ka Nak,19,04/10/2019,Ba,488.83,6.42,22.7
Ka Nak,20,04/10/2019,Ba,488.83,7.97,10.1
Ka Nak,21,04/10/2019,Ba,488.81,8.38,29
Ka Nak,22,04/10/2019,Ba,488.79,8.38,29
Ka Nak,23,04/10/2019,Ba,488.8,8.91,2.4
Ka Nak,0,05/10/2019,Ba,488.81,8.68,0
Ka Nak,1,05/10/2019,Ba,488.82,8.68,0
Ka Nak,2,05/10/2019,Ba,488.82,8.68,0
Ka Nak,3,05/10/2019,Ba,488.83,8.68,0
Ka Nak,4,05/10/2019,Ba,488.84,8.68,0
Ka Nak,5,05/10/2019,Ba,488.85,8.68,0
Ka Nak,6,05/10/2019,Ba,488.86,8.68,0
Ka Nak,7,05/10/2019,Ba,488.86,8.68,0
Ka Nak,8,05/10/2019,Ba,488.87,8.68,0
Ka Nak,9,05/10/2019,Ba,488.88,8.68,0
Ka Nak,10,05/10/2019,Ba,488.89,8.68,0
Ka Nak,11,05/10/2019,Ba,488.9,8.68,0
Ka Nak,12,05/10/2019,Ba,488.9,8.68,0
Ka Nak,13,05/10/2019,Ba,488.91,8.68,0
Ka Nak,14,05/10/2019,Ba,488.92,8.68,0
Ka Nak,15,05/10/2019,Ba,488.93,8.68,0
Ka Nak,16,05/10/2019,Ba,488.94,8.68,0
Ka Nak,17,05/10/2019,Ba,488.94,8.68,0
Ka Nak,18,05/10/2019,Ba,488.95,8.68,0
Ka Nak,19,05/10/2019,Ba,488.96,8.68,0
Ka Nak,20,05/10/2019,Ba,488.97,8.68,0
Ka Nak,21,05/10/2019,Ba,488.98,8.68,0
Ka Nak,22,05/10/2019,Ba,488.98,8.68,0
Ka Nak,23,05/10/2019,Ba,488.99,8.68,0
Ka Nak,0,06/10/2019,Ba,489,8.68,0
Ka Nak,1,06/10/2019,Ba,489.01,8.68,0
Ka Nak,2,06/10/2019,Ba,489.02,8.68,0
Ka Nak,3,06/10/2019,Ba,489.02,8.68,0
Ka Nak,4,06/10/2019,Ba,489.03,8.68,0
Ka Nak,5,06/10/2019,Ba,489.04,8.68,0
Ka Nak,6,06/10/2019,Ba,489.05,8.68,0
Ka Nak,7,06/10/2019,Ba,489.06,8.68,0
Ka Nak,8,06/10/2019,Ba,489.06,8.68,0
Ka Nak,9,06/10/2019,Ba,489.08,9.77,0
Ka Nak,10,06/10/2019,Ba,489.09,9.77,0
Ka Nak,11,06/10/2019,Ba,489.1,9.77,0
Ka Nak,12,06/10/2019,Ba,489.11,9.77,0
Ka Nak,13,06/10/2019,Ba,489.13,9.77,0
Ka Nak,14,06/10/2019,Ba,489.14,9.77,0
Ka Nak,15,06/10/2019,Ba,489.15,9.77,0
Ka Nak,16,06/10/2019,Ba,489.17,9.77,0
Ka Nak,17,06/10/2019,Ba,489.18,9.77,0
Ka Nak,18,06/10/2019,Ba,489.18,9.8,16.3
Ka Nak,19,06/10/2019,Ba,489.18,9.66,10.6
Ka Nak,20,06/10/2019,Ba,489.19,9.77,0
Ka Nak,21,06/10/2019,Ba,489.19,9.77,0
Ka Nak,22,06/10/2019,Ba,489.2,9.77,0
Ka Nak,23,06/10/2019,Ba,489.22,9.77,0
Ka Nak,0,07/10/2019,Ba,489.23,9.77,0
Ka Nak,1,07/10/2019,Ba,489.25,9.77,0
Ka Nak,2,07/10/2019,Ba,489.26,9.77,0
Ka Nak,3,07/10/2019,Ba,489.28,9.77,0
Ka Nak,4,07/10/2019,Ba,489.29,9.77,0
Ka Nak,5,07/10/2019,Ba,489.31,9.77,0
Ka Nak,6,07/10/2019,Ba,489.32,9.77,0
Ka Nak,7,07/10/2019,Ba,489.32,9.65,11.6
Ka Nak,8,07/10/2019,Ba,489.32,9.7,20.1
Ka Nak,9,07/10/2019,Ba,489.31,9.85,29
Ka Nak,10,07/10/2019,Ba,489.3,9.85,29
Ka Nak,11,07/10/2019,Ba,489.29,9.85,29
Ka Nak,12,07/10/2019,Ba,489.27,9.85,29
Ka Nak,13,07/10/2019,Ba,489.26,9.85,29
